SNR,FER,BER, 
1,0.290676,0.0928702, 
1.25,0.143784,0.0458378, 
1.5,0.0724495,0.0220798, 
1.75,0.0288835,0.00896681, 
2,0.0134459,0.0041405, 
2.25,0.00825795,0.00257456, 
2.5,0.00570734,0.00179046, 
