SNR,FER,BER, 
1,0.731261,0.0627158, 
1.25,0.432432,0.0337269, 
1.5,0.197141,0.0146986, 
1.75,0.0574795,0.00411566, 
2,0.0121959,0.000841944, 
2.25,0.00166827,0.000109923, 
2.5,0.000204858,1.24E-05, 
