SNR,FER,BER, 
1,0.744879,0.0631281, 
1.25,0.442478,0.0340583, 
1.5,0.1999,0.0143614, 
1.75,0.0641437,0.00439604, 
2,0.0133721,0.000913396, 
2.25,0.00196025,0.000128748, 
2.5,0.000179588,1.13E-05, 
