SNR,FER,BER, 
1,0.435484,0.132079, 
1.25,0.259754,0.0830595, 
1.5,0.102348,0.0304829, 
1.75,0.0443209,0.0134165, 
2,0.0170458,0.00523825, 
2.25,0.00857657,0.00267041, 
2.5,0.0058253,0.00182742, 
