SNR,FER,BER, 
1,0.716846,0.0623631, 
1.25,0.410678,0.0334164, 
1.5,0.177226,0.0131522, 
1.75,0.0600962,0.00430942, 
2,0.0110687,0.000775412, 
2.25,0.00161062,0.000107211, 
2.5,0.00017354,1.13E-05, 
